JobID,JobName,Partition,State,Reason,ExitCode,SystemComment,Priority,Timelimit,Submit,Start,End,Elapsed,ReqMem,MaxRSS,MaxVMSize,MaxPages,TotalCPU,NodeList
501378_2,PuddinPcc,gpu,OUT_OF_MEMORY,None,0:125,,18871,1-00:00:00,2022-04-12T22:03:06,2022-04-12T22:03:07,2022-04-13T06:52:19,08:49:12,35Gn,,,,06:17:56,joachims-compute-02
501378_2.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T06:52:19,08:49:12,35Gn,34.16G,59.52G,0.00G,06:17:56,joachims-compute-02
501378_2.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T06:52:19,08:49:12,35Gn,0.00G,0.08G,0,00:00.001,joachims-compute-02
501378_3,PuddinPcc,gpu,OUT_OF_MEMORY,None,0:125,,18871,1-00:00:00,2022-04-12T22:03:06,2022-04-12T22:03:07,2022-04-13T07:48:15,09:45:08,35Gn,,,,07:43:03,sablab-gpu-05
501378_3.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T07:48:15,09:45:08,35Gn,34.98G,60.27G,0.00G,07:43:03,sablab-gpu-05
501378_3.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T07:48:15,09:45:08,35Gn,0.00G,0.08G,0,00:00.001,sablab-gpu-05
501378_4,PuddinPcc,gpu,OUT_OF_MEMORY,None,0:125,,18871,1-00:00:00,2022-04-12T22:03:06,2022-04-12T22:03:07,2022-04-13T16:08:12,18:05:05,35Gn,,,,15:47:03,hariharan-compute-02
501378_4.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T16:08:12,18:05:05,35Gn,35.03G,60.08G,0.00G,15:47:03,hariharan-compute-02
501378_4.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T16:08:12,18:05:05,35Gn,0.00G,0.08G,0,00:00.002,hariharan-compute-02
501378_5,PuddinPcc,gpu,OUT_OF_MEMORY,None,0:125,,18871,1-00:00:00,2022-04-12T22:03:06,2022-04-12T22:03:07,2022-04-13T20:36:36,22:33:29,35Gn,,,,20:56:52,hariharan-compute-02
501378_5.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T20:36:36,22:33:29,35Gn,32.11G,56.43G,0.00G,20:56:52,hariharan-compute-02
501378_5.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T22:03:07,2022-04-12T22:03:07,2022-04-13T20:36:36,22:33:29,35Gn,0.00G,0.08G,0,00:00.002,hariharan-compute-02
